player,nation,position,squad,competition,age,born,90s,goals_against,penalties_allowed,fk_goals_against,ck_goals_against,og_goals_against,PSxG,PSxG/SoT,PSxG+/-,psxg_plus_minus_per90,launched_cmp,launched_att,launched_cmp%,passes_gk_att,passes_throw,passes_launch%,passes_avg_length,goalkicks_att,goalkicks_launch%,goalkicks_avg_length,crosses_faced,crosses_stopped,crosses_stop%,opa_outside_pen_area,opa_outside_per90,opa_avg_distance
Adrián,ESP,GK,Betis,La Liga,37,1987,19,27,1,2,5,0,26,0.33,-1,-0.05,58,178,32.6,507,91,28,31.2,109,33,33.8,257,14,5.4,16,0.84,11.7
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23,2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32,341,51,37.5,33.9,66,75.8,54.9,143,20,14,17,1.27,14.2
Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23,2000,1,2,0,0,0,0,2.4,0.48,0.4,0.41,7,28,25,37,5,59.5,44.7,13,46.2,39.7,15,0,0,0,0,
Alisson,BRA,GK,Liverpool,Premier League,31,1992,27.9,29,1,0,2,2,30.5,0.3,3.5,0.13,68,203,33.5,877,128,19.7,26.6,80,37.5,33.4,255,11,4.3,49,1.76,16
Alphonse Areola,FRA,GK,West Ham,Premier League,31,1993,25.1,41,0,0,5,3,35.4,0.31,-2.6,-0.1,135,384,35.2,788,119,34.4,32.1,196,57.7,42.9,394,15,3.8,30,1.19,15
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,29,1994,31,39,4,0,4,0,41,0.28,2,0.07,132,365,36.2,831,122,33.2,32.9,192,46.4,38.7,367,22,6,54,1.74,16
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22,2002,25.6,37,0,1,3,0,37,0.3,0,0,159,414,38.4,1012,110,32.4,33.1,126,68.3,51.5,377,34,9,28,1.09,12.7
Emil Audero,IDN,GK,Como,Serie A,27,1997,8,18,4,0,2,0,12.4,0.27,-5.6,-0.7,17,55,30.9,232,30,22,28.6,21,19,27.5,95,5,5.3,8,1,12.9
Brandon Austin,ENG,GK,Tottenham,Premier League,25,1999,1,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29,15,5,33.3,2,2,12.4
Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,28,1996,32,39,6,0,6,1,40,0.25,2,0.06,177,534,33.1,989,129,42.3,38.2,184,63,51.1,453,35,7.7,38,1.19,14.4
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34,1990,28,53,2,1,7,2,52.1,0.36,1.1,0.04,178,478,37.2,923,121,41.6,36.5,136,69.1,50.8,407,18,4.4,31,1.11,14.5
Altay Bayındır,TUR,GK,Manchester Utd,Premier League,26,1998,4,10,0,0,0,1,10.1,0.59,1.1,0.27,13,62,21,128,12,34.4,34.1,24,75,53.8,56,4,7.1,7,1.75,12
Daniel Bentley,ENG,GK,Wolves,Premier League,31,1993,2,4,0,1,0,0,3.9,0.33,-0.1,-0.04,7,21,33.3,52,6,25,28.1,13,61.5,46.4,25,0,0,3,1.5,16.4
Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26,1998,4,11,2,0,0,0,8.8,0.35,-2.2,-0.54,20,47,42.6,86,19,38.4,34.5,27,51.9,43.6,55,8,14.5,3,0.75,13.3
Marco Bizot,NED,GK,Brest,Ligue 1,33,1991,32,54,8,1,4,1,46.2,0.31,-6.8,-0.21,218,522,41.8,902,134,42,36,216,66.2,49.2,459,33,7.2,53,1.66,16.2
Jean Butez,FRA,GK,Como,Serie A,29,1995,18.5,20,2,0,1,0,20.1,0.27,0.1,0,90,235,38.3,709,92,30.2,32,43,48.8,42.7,190,22,11.6,51,2.76,18.2
Marcin Bułka,POL,GK,Nice,Ligue 1,24,1999,34,41,2,0,4,1,43,0.26,3,0.09,112,272,41.2,948,173,22.8,28.6,162,34.6,32.3,470,39,8.3,33,0.97,12.8
Elia Caprile,ITA,GK,Cagliari,Serie A,22,2001,18,22,1,0,4,0,23.5,0.35,1.5,0.08,132,332,39.8,546,93,44.1,36.8,159,57.2,45.2,266,18,6.8,23,1.28,15.6
Elia Caprile,ITA,GK,Napoli,Serie A,22,2001,3.6,1,0,0,0,0,2.2,0.27,1.2,0.32,11,25,44,82,9,25.6,31.7,15,26.7,30.7,31,3,9.7,3,0.83,13.7
Dani Cárdenas,ESP,GK,Rayo Vallecano,La Liga,27,1997,6,6,0,0,0,0,5.6,0.29,-0.4,-0.06,26,106,24.5,132,21,56.8,44.3,46,67.4,51.9,79,2,2.5,1,0.17,10.2
Tiago Cardoso,LUX,GK,Gladbach,Bundesliga,18,2006,4.2,3,0,0,0,0,4.7,0.2,1.7,0.39,23,62,37.1,148,22,27,29.2,31,71,48.9,96,14,14.6,1,0.24,5.6
