player,nation,position,squad,competition,age,born,90s,tackles,tackles_won,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,dribblers_tackled,dribblers_challenged,dribblers_tackled%,challenges_lost,blocks,shotsblocked,passesblocked,interceptions,tkl+int,clearances,errors_leadingtoshot
Max Aarons,ENG,DF,Bournemouth,Premier League,24,2000,1,2,2,1,1,0,1,1,100,0,3,1,2,1,3,0,0
Max Aarons,ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,4,4,2,2,0,4,5,80,1,1,0,1,0,4,3,0
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,0.7,3,2,2,1,0,3,3,100,0,1,0,1,1,4,0,0
James Abankwah,IRL,"DF,MF",Udinese,Serie A,20,2004,1,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,0,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36,1987,11.5,17,11,15,2,0,10,16,62.5,6,26,18,8,14,31,57,1
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24,1999,31.6,48,32,13,20,15,15,48,31.3,33,24,1,23,26,74,28,2
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,1999,9.5,21,14,12,6,3,13,22,59.1,9,11,5,6,15,36,56,1
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30,1993,15.5,43,25,18,14,11,28,43,65.1,15,20,6,14,20,63,37,0
Saud Abdulhamid,KSA,DF,Roma,Serie A,25,1999,2.3,3,2,2,0,1,1,1,100,0,2,0,2,2,5,0,0
Abel,ESP,DF,Osasuna,La Liga,23,2000,23,61,37,28,25,8,39,63,61.9,24,29,4,25,18,79,64,2
Nabil Aberdin,FRA,MF,Getafe,La Liga,21,2002,2.9,6,4,3,3,0,1,1,100,0,3,0,3,0,6,5,0
Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21,2003,30.8,11,5,2,4,5,3,9,33.3,6,15,1,14,4,15,36,1
Abner,BRA,DF,Lyon,Ligue 1,24,2000,12.1,29,20,12,10,7,21,32,65.6,11,15,2,13,5,34,41,0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24,2000,21.1,22,13,7,8,7,4,23,17.4,19,16,1,15,6,28,9,0
Abdel Abqar,MAR,DF,Alavés,La Liga,25,1999,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1
Tammy Abraham,ENG,FW,Roma,Serie A,26,1997,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Milan,Serie A,26,1997,13.1,17,11,2,10,5,6,8,75,2,13,0,13,2,19,16,0
