player,nation,position,squad,competition,age,born,90s,shotcreatingactions,shotcreatingaction_per90,sca_livepasses,sca_deadballs,sca_takeons,sca_shots,sca_foulsdrawn,sca_defaction,goalcreatingactions,gca_per90,gca_passlive,gca_deadball,gca_takeons,gca_shots,gca_foulsdrawn,gca_defaction
Max Aarons,ENG,DF,Bournemouth,Premier League,24,2000,1,2,2.09,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Aarons,ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,1,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Abankwah,IRL,"DF,MF",Udinese,Serie A,20,2004,1,1,1.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36,1987,11.5,6,0.55,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24,1999,31.6,94,2.98,80,2,5,1,3,3,5,0.16,3,0,2,0,0,0
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,1999,9.5,8,0.84,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30,1993,15.5,45,2.91,33,3,4,4,0,1,3,0.19,1,1,0,1,0,0
Saud Abdulhamid,KSA,DF,Roma,Serie A,25,1999,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0
Abel,ESP,DF,Osasuna,La Liga,23,2000,23,39,1.69,29,2,5,0,1,2,4,0.17,2,0,1,0,0,1
Nabil Aberdin,FRA,MF,Getafe,La Liga,21,2002,2.9,3,1.03,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21,2003,30.8,61,1.98,43,0,8,6,3,1,9,0.29,6,0,2,1,0,0
Abner,BRA,DF,Lyon,Ligue 1,24,2000,12.1,25,2.06,21,3,0,1,0,0,1,0.08,1,0,0,0,0,0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24,2000,21.1,34,1.61,19,0,4,6,4,1,7,0.33,3,0,1,0,3,0
Abdel Abqar,MAR,DF,Alavés,La Liga,25,1999,27.4,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0
Tammy Abraham,ENG,FW,Roma,Serie A,26,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Milan,Serie A,26,1997,13.1,33,2.51,28,0,0,4,1,0,9,0.68,7,0,0,1,1,0
Federico Accornero,ITA,MF,Genoa,Serie A,20,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Inter,Serie A,36,1988,19,20,1.05,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0
Joshua Acheampong,ENG,DF,Chelsea,Premier League,18,2006,1.9,2,1.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Akor Adams,NGA,FW,Sevilla,La Liga,24,2000,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akor Adams,NGA,FW,Montpellier,Ligue 1,24,2000,11.9,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0
