player,nation,position,squad,competition,age,born,matches_played,starts,minutes,90s,goals_against,goalsagainst_per90,sota,saves,save%,wins,draws,losses,cleansheets,cleansheet%,pk_faced,pk_conceded,pk_saved,pk_missed,pk_save%
Adrián,ESP,GK,Betis,La Liga,37,1987,19,19,1710,19,27,1.42,76,49,65.8,10,5,4,3,15.8,1,1,0,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23,2000,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50
Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23,2000,2,1,91,1,2,1.98,5,3,60,0,1,0,0,0,0,0,0,0,
Alisson,BRA,GK,Liverpool,Premier League,31,1992,28,28,2508,27.9,29,1.04,100,73,72,18,7,3,9,32.1,1,1,0,0,0
Alphonse Areola,FRA,GK,West Ham,Premier League,31,1993,26,25,2260,25.1,41,1.63,115,77,64.3,5,7,13,5,20,0,0,0,0,
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,29,1994,31,31,2790,31,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0,0
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22,2002,26,26,2307,25.6,37,1.44,120,81,69.2,12,6,8,10,38.5,2,0,2,0,100
Emil Audero,IDN,GK,Como,Serie A,27,1997,8,8,720,8,18,2.25,34,16,58.8,2,2,4,0,0,4,4,0,0,0
Brandon Austin,ENG,GK,Tottenham,Premier League,25,1999,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,
Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,28,1996,32,32,2880,32,39,1.22,133,93,75.2,10,12,10,8,25,8,6,2,0,25
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34,1990,28,28,2520,28,53,1.89,138,84,63,6,8,14,4,14.3,5,2,3,0,60
Altay Bayındır,TUR,GK,Manchester Utd,Premier League,26,1998,4,4,360,4,10,2.5,17,8,41.2,1,0,3,1,25,0,0,0,0,
Daniel Bentley,ENG,GK,Wolves,Premier League,31,1993,2,2,180,2,4,2,12,8,66.7,1,0,1,1,50,0,0,0,0,
Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26,1998,4,4,360,4,11,2.75,21,10,57.1,1,0,3,0,0,2,2,0,0,0
Marco Bizot,NED,GK,Brest,Ligue 1,33,1991,32,32,2880,32,54,1.69,128,74,64.1,14,5,13,10,31.3,10,8,1,1,11.1
Jean Butez,FRA,GK,Como,Serie A,29,1995,19,18,1666,18.5,20,1.08,68,48,73.5,8,4,6,5,27.8,2,2,0,0,0
Marcin Bułka,POL,GK,Nice,Ligue 1,24,1999,34,34,3060,34,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3
Elia Caprile,ITA,GK,Cagliari,Serie A,22,2001,18,18,1620,18,22,1.22,66,44,68.2,5,4,9,5,27.8,1,1,0,0,0
Elia Caprile,ITA,GK,Napoli,Serie A,22,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100,0,0,0,0,
Dani Cárdenas,ESP,GK,Rayo Vallecano,La Liga,27,1997,6,6,540,6,6,1,20,14,70,3,1,2,2,33.3,0,0,0,0,
Tiago Cardoso,LUX,GK,Gladbach,Bundesliga,18,2006,5,4,380,4.2,3,0.71,23,20,87,2,1,1,2,50,0,0,0,0,
Patrik Carlgren,SWE,GK,Nantes,Ligue 1,32,1992,5,4,417,4.6,7,1.51,28,21,75,1,2,1,1,25,0,0,0,0,
Marco Carnesecchi,ITA,GK,Atalanta,Serie A,24,2000,34,34,3060,34,34,1,129,97,75.2,19,7,8,13,38.2,2,2,0,0,0
Lucas Chevalier,FRA,GK,Lille,Ligue 1,22,2001,34,34,3060,34,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0
Leandro Chichizola,ARG,GK,Parma,Serie A,34,1990,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,
Jasper Cillessen,NED,GK,Las Palmas,La Liga,35,1989,27,27,2335,25.9,42,1.62,128,85,70.3,6,8,13,3,11.1,8,4,3,1,42.9
Giuseppe Ciocci,ITA,GK,Cagliari,Serie A,22,2002,1,0,9,0.1,0,0,0,0,,0,0,0,0,,0,0,0,0,
Diego Conde,ESP,GK,Villarreal,La Liga,25,1998,22,22,1962,21.8,33,1.51,94,62,68.1,11,6,5,2,9.1,4,3,0,1,0
Grégoire Coudert,FRA,GK,Brest,Ligue 1,25,1999,2,2,180,2,5,2.5,13,9,61.5,1,0,1,0,0,0,0,0,0,
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,32,1992,30,30,2700,30,29,0.97,104,76,75,20,6,4,11,36.7,3,3,0,0,0
Finn Dahmen,GER,GK,Augsburg,Bundesliga,26,1998,19,19,1710,19,19,1,82,65,79.3,7,6,6,9,47.4,2,2,0,0,0
Thomas Dähne,GER,GK,Holstein Kiel,Bundesliga,30,1994,9,9,810,9,19,2.11,55,36,69.1,2,2,5,0,0,3,2,1,0,33.3
Théo De Percin,MTQ,GK,Auxerre,Ligue 1,23,2001,2,2,180,2,3,1.5,9,5,77.8,0,1,1,1,50,2,1,1,0,50
Rémy Descamps,FRA,GK,Lyon,Ligue 1,28,1996,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,
