player,nation,position,squad,competition,age,born,90s,yellow_cards,red_cards,second_yellowcards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_won%
Max Aarons,ENG,DF,Bournemouth,Premier League,24,2000,1,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,
Max Aarons,ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,2,0,0,0,2,0,5,0,4,0,0,0,7,2,1,66.7
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0
James Abankwah,IRL,"DF,MF",Udinese,Serie A,20,2004,1,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36,1987,11.5,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24,1999,31.6,4,0,0,48,32,3,44,26,32,0,0,0,193,13,20,39.4
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,1999,9.5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30,1993,15.5,2,0,0,27,14,5,51,20,25,0,0,0,72,22,14,61.1
Saud Abdulhamid,KSA,DF,Roma,Serie A,25,1999,2.3,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0
Abel,ESP,DF,Osasuna,La Liga,23,2000,23,3,0,0,25,32,3,85,18,37,0,1,0,106,20,17,54.1
Nabil Aberdin,FRA,MF,Getafe,La Liga,21,2002,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9
Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Matthis Abline,FRA,FW,Nantes,Ligue 1,21,2003,30.8,3,0,0,34,53,5,30,4,5,0,0,0,83,64,76,45.7
Abner,BRA,DF,Lyon,Ligue 1,24,2000,12.1,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24,2000,21.1,4,0,0,35,25,13,33,6,13,2,0,0,61,22,38,36.7
Abdel Abqar,MAR,DF,Alavés,La Liga,25,1999,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3
Tammy Abraham,ENG,FW,Roma,Serie A,26,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
Tammy Abraham,ENG,FW,Milan,Serie A,26,1997,13.1,1,0,0,23,12,7,3,2,11,1,0,0,12,36,33,52.2
