player,nation,position,squad,competition,age,born,90s,passes_attempted,liveball_passes,deadball_passes,fk_passes,throughball_passes,switches,crosses,throwins,cornerkicks,inswingingcorners,outswingingcorners,straightcorners,totalpasscomp,passes_offside,passes_blocked
Max Aarons,ENG,DF,Bournemouth,Premier League,24,2000,1,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1
Max Aarons,ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,66,54,12,1,0,0,5,11,0,0,0,0,47,0,1
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2
James Abankwah,IRL,"DF,MF",Udinese,Serie A,20,2004,1,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36,1987,11.5,505,461,42,20,0,0,0,3,0,0,0,0,438,2,1
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24,1999,31.6,1672,1555,107,41,23,13,44,15,10,5,2,0,1373,10,31
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,1999,9.5,521,493,28,21,0,7,2,5,0,0,0,0,471,0,2
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30,1993,15.5,678,551,122,12,0,2,51,110,0,0,0,0,502,5,22
Saud Abdulhamid,KSA,DF,Roma,Serie A,25,1999,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3
Abel,ESP,DF,Osasuna,La Liga,23,2000,23,1071,847,220,14,3,2,85,206,0,0,0,0,776,4,47
Nabil Aberdin,FRA,MF,Getafe,La Liga,21,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3
Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
