player,nation,position,squad,comp,age,born,mathes_played,minutes,min_permatch,%ofsquadminplayed,90s,starts,minpermatch_started,complete_matchesplayed,sub_apps,min_persub,games_unusedsub,point_permatch,gs_whileonpitch,goalsallowed_whileonpitch,plus_minus,plus_minus_per90, netplus_minus_per90,teamxg_onpitch,teamxga_onpitch,xg_plus_minus,xg_plus_minus_per90,xg_on_off
Max Aarons,ENG,DF,Bournemouth,Premier League,24,2000,3,86,29,2.5,1,1,61,0,2,13,11,0.67,2,0,2,2.09,1.82,2.3,0.3,2,2.12,1.75
Max Aarons,ENG,"DF,MF",Valencia,La Liga,24,2000,4,120,30,3.5,1.3,1,73,0,3,16,14,0.75,1,3,-2,-1.5,-1.28,1.5,3.7,-2.3,-1.69,-1.52
Álvaro Abajas,ESP,GK,Leganés,La Liga,21,2003,0,,,,,0,,0,0,,33,,,,,,,,,,,
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,1,65,65,1.9,0.7,1,65,0,0,,8,0,1,2,-1,-1.38,-1.14,1.4,0.7,0.7,0.93,1.18
James Abankwah,IRL,"DF,MF",Udinese,Serie A,20,2004,6,88,15,2.6,1,0,,0,6,15,12,1.67,2,0,2,2.05,2.5,0.6,1.5,-0.9,-0.91,-0.54
Zach Abbott,ENG,DF,Nott'ham Forest,Premier League,18,2006,0,,,,,0,,0,0,,7,,,,,,,,,,,
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,1,3,3,0.1,0,0,,0,1,3,7,3,0,0,0,0,-0.79,0,0,0,-0.49,-1.03
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36,1987,16,1033,65,33.8,11.5,11,85,9,5,19,17,0.94,5,31,-26,-2.27,-1.73,8,26.4,-18.4,-1.67,-0.82
Jones El-Abdellaoui,MAR,FW,Celta Vigo,La Liga,18,2006,0,,,,,0,,0,0,,9,,,,,,,,,,,
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24,1999,32,2842,89,92.9,31.6,32,89,25,0,,0,1.03,28,50,-22,-0.7,-1.11,30.8,54.2,-23.4,-0.74,-1.38
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,1999,12,855,71,27.9,9.5,10,83,8,2,12,12,1.92,15,14,1,0.11,-0.87,16.5,11.5,5,0.53,-0.14
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30,1993,25,1393,56,45.5,15.5,17,77,6,8,10,1,1.8,26,16,10,0.65,-0.16,26.2,18,8.3,0.54,-0.17
Saud Abdulhamid,KSA,DF,Roma,Serie A,25,1999,4,205,51,6,2.3,2,62,0,2,41,27,1.5,4,1,3,1.32,0.81,3.6,1.5,2.1,0.92,0.64
Abel,ESP,DF,Osasuna,La Liga,23,2000,35,2074,59,60.6,23,20,86,13,15,24,3,1.46,30,35,-5,-0.22,-0.28,25.7,34.4,-8.7,-0.38,-0.32
