player,nation,position,squad,competition,age,born,90s,goals,shots_total,shots_ontarget,shots_ontarget%,shots_total_per90,shots_ontarget_per90,goals_pershot,goals_pershot_ontarget,avg_shotdistance,shots_fromfk,pk_made,pk_attempted,xg,npxg,npxg_pershot,goals-xg,npg-npxg
Max Aarons,ENG,DF,Bournemouth,Premier League,24,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Max Aarons,ENG,"DF,MF",Valencia,La Liga,24,2000,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,0.7,0,1,0,0,1.38,0,0,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
James Abankwah,IRL,"DF,MF",Udinese,Serie A,20,2004,1,0,1,0,0,1.02,0,0,,15,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36,1987,11.5,0,2,1,50,0.17,0.09,0,0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24,1999,31.6,6,35,8,22.9,1.11,0.25,0.09,0.38,22.6,0,3,4,6.4,3.2,0.09,-0.4,-0.2
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,1999,9.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30,1993,15.5,5,29,11,37.9,1.87,0.71,0.17,0.45,16.9,1,0,0,4.3,4.3,0.17,0.7,0.7
Saud Abdulhamid,KSA,DF,Roma,Serie A,25,1999,2.3,0,1,0,0,0.44,0,0,,24.7,0,0,0,0,0,0.03,0,0
