player,nation,position,squad,competition,age,born,matches_played,starts,min,90s,goals,assists,g+a,npg,pk,pk_att,yellowcards,redcards,xg,npxg,xag,npxg+xag,progressive_carries,progressive_passes,progressivepassses_rec,goals_per90,assist_per90,g+a_per90,npg_per90,npg+ass_per90,xg_per90,xag_per90,xg+xag_per90,npxg_per90,npxg+xag_per90
Max Aarons,ENG,DF,Bournemouth,Premier League,24,2000,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,0,0,0,0,0
Max Aarons,ENG,"DF,MF",Valencia,La Liga,24,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0.02,0.02,0,0.02
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,2,3,0,0,0,0,0,0.1,0,0.1,0.1,0.1
James Abankwah,IRL,"DF,MF",Udinese,Serie A,20,2004,6,0,88,1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,4,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36,1987,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24,1999,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.19,0.03,0.22,0.1,0.13,0.2,0.1,0.3,0.1,0.2
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0,0,0,0,6,52,5,0,0,0,0,0,0,0,0,0,0
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30,1993,25,17,1393,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.4,0.28,0.4
Saud Abdulhamid,KSA,DF,Roma,Serie A,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0,0,0.2,0.2,6,9,26,0,0.44,0.44,0,0.44,0.01,0.08,0.09,0.01,0.09
Abel,ESP,DF,Osasuna,La Liga,23,2000,35,20,2074,23,2,0,2,2,0,0,3,0,0.5,0.5,1,1.6,50,77,92,0.09,0,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07
Nabil Aberdin,FRA,MF,Getafe,La Liga,21,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0,0,0,0.1,2,6,2,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21,2003,34,33,2768,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37
Abner,BRA,DF,Lyon,Ligue 1,24,2000,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48
Abdel Abqar,MAR,DF,Alavés,La Liga,25,1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0,0.04,0.04,0,0.04,0.03,0.01,0.04,0.03,0.04
Tammy Abraham,ENG,FW,Roma,Serie A,26,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Milan,Serie A,26,1997,28,12,1183,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.23,0.3,0.53,0.15,0.46,0.54,0.16,0.7,0.41,0.58
Federico Accornero,ITA,MF,Genoa,Serie A,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
